Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
das,"Frostschutzmittel, -",Antifreeze,Im Winter muss man Frostschutzmittel in die Scheibenwaschanlage füllen.,"In winter, you have to fill the windshield washer fluid reservoir with antifreeze.",N
,frühestmöglich,as soon as possible,Bitte schicken Sie uns die Unterlagen zum frühestmöglichen Zeitpunkt.,Please send us the documents as soon as possible.,Adj
die,"Frühschicht, -en",Early shift,"Ich muss morgen früh aufstehen, weil ich Frühschicht habe.",I have to get up early tomorrow because I have the early shift.,N
die,"Führungskraft, -ä-e",Manager,Als Führungskraft trägt sie viel Verantwortung für ihr Team.,"As a manager, she bears a lot of responsibility for her team.",N
,fundiert,well-founded,Für diese Position benötigen Sie fundierte Kenntnisse im Bereich Marketing.,This position requires in-depth knowledge of marketing.,Adj
der,"Funk, -",Radio,Der Pilot steht über Funk mit dem Tower in Kontakt.,The pilot is in radio contact with the tower.,N
die,"Funkausstellung, -en",Radio exhibition,Auf der Funkausstellung werden die neuesten technischen Geräte präsentiert.,The latest technical devices are presented at the radio exhibition.,N
der,"Funktionsraum, -ä-e",Functional space,Das Krankenhaus verfügt über mehrere hochmoderne Funktionsräume.,The hospital has several state-of-the-art functional rooms.,N
der,"Fußboden, -ö-",Floor,Der neue Fußboden im Büro ist aus dunklem Holz.,The new office floor is made of dark wood.,N
die,"Fußleiste, -n",Baseboard,Nach dem Streichen der Wände müssen wir noch die Fußleisten montieren.,"After painting the walls, we still need to install the baseboards.",N
der,"Gasaustritt, -",Gas leak,Wegen eines vermuteten Gasaustritts wurde das Gebäude evakuiert.,The building was evacuated due to a suspected gas leak.,N
der,"Gasgrill, -s",Gas grill,Wir haben am Wochenende Würstchen auf dem neuen Gasgrill gemacht.,We made sausages on the new gas grill over the weekend.,N
der/die,"Gastgeber/in, -/-nen",Host,Die Gastgeberin begrüßte jeden Gast persönlich an der Tür.,The hostess greeted each guest personally at the door.,N
das,"Gastgewerbe, -",Hospitality industry,Während der Pandemie hat das Gastgewerbe stark gelitten.,The hospitality industry suffered greatly during the pandemic.,N
der,"Gasthof, -ö-e",Inn,Wir haben in einem gemütlichen kleinen Gasthof auf dem Land übernachtet.,We stayed overnight in a cozy little inn in the countryside.,N
die,"Gastronomie, -",Gastronomy,Er hat eine Ausbildung in der Gastronomie absolviert.,He completed an apprenticeship in the catering industry.,N
das,"Gebotszeichen, -",Mandatory signs,Das blaue Gebotszeichen weist auf die Helmpflicht hin.,The blue mandatory sign indicates that helmets are required.,N
der,"Gebrauch, -ä-e",Usage,Der Gebrauch von Handys ist während der Prüfung strengstens untersagt.,The use of mobile phones is strictly prohibited during the exam.,N
die,"Gebrauchsweise, -n",Usage,"Bitte lesen Sie die Anleitung, um die richtige Gebrauchsweise zu verstehen.",Please read the instructions to understand how to use it correctly.,N
der,"Gebrauchtwagen, -",Used cars,Er hat sich einen günstigen Gebrauchtwagen gekauft.,He bought himself a cheap used car.,N
,gebührenfrei,free of charge,Diese Hotline ist für Anrufer aus dem Inland gebührenfrei.,This hotline is free of charge for callers from within the country.,Adv
,geduldig,patient,Als Lehrer muss man oft sehr geduldig mit den Schülern sein.,"As a teacher, you often have to be very patient with your students.",Adj
,gefährden,endanger,Fahren unter Alkoholeinfluss kann das Leben anderer gefährden.,Driving under the influence of alcohol can endanger the lives of others.,V
der,"Gegenvorschlag, -ä-e",Counter-proposal,"Da ich Ihren Plan nicht gut finde, mache ich einen Gegenvorschlag.","Since I don't like your plan, I'm making a counter-proposal.",N
die,"Gegenwart, -",Present tense,In der Gegenwart nutzen wir das Internet für fast alles.,"Nowadays, we use the internet for almost everything.",N
,gegenwärtig,currently,Die gegenwärtige wirtschaftliche Lage ist für viele Unternehmen schwierig.,The current economic situation is difficult for many companies.,Adj
die,"Gehaltsabrechnung, -en",Payslip,Auf der Gehaltsabrechnung können Sie Ihre Abzüge sehen.,You can see your deductions on your payslip.,N
die,"Gehaltsabrechnung, -en",Payslip,Bitte überprüfen Sie Ihre Gehaltsabrechnung auf mögliche Fehler.,Please check your payslip for any errors.,N
die,"Gehaltserhöhung, -en",Salary increase,Nach zwei Jahren im Unternehmen bat er um eine Gehaltserhöhung.,"After two years with the company, he asked for a salary increase.",N
der,"Gehaltsnachweis, -e",Proof of income,Für den Mietvertrag benötigt der Vermieter die letzten drei Gehaltsnachweise.,The landlord needs the last three payslips for the rental agreement.,N
,gehetzt,chased,Sie wirkte heute Morgen sehr gehetzt und gestresst.,She seemed very rushed and stressed this morning.,Adj
der,"Gehörschutz, -",Hearing protection,Bei Arbeiten mit lauten Maschinen müssen Sie einen Gehörschutz tragen.,"When working with loud machinery, you must wear hearing protection.",N
der,"Geist: den Geist aufgeben (kaputtgehen), -",Spirit: to give up the ghost (to break down),Mein alter Drucker hat gestern leider den Geist aufgegeben.,My old printer unfortunately broke down yesterday.,N
,gekennzeichnet,characterized,Die Notausgänge sind mit grünen Schildern deutlich gekennzeichnet.,The emergency exits are clearly marked with green signs.,Adj
das,"Gelände, -",Terrain,Das Betreten des Firmengeländes ist für Unbefugte verboten.,Unauthorized persons are prohibited from entering the company premises.,N
die,"Geldangelegenheit, -en",Financial matter,Er bespricht seine Geldangelegenheiten immer mit seinem Bankberater.,He always discusses his financial matters with his bank advisor.,N
die,"Gelegenheit: Gelegenheit ergreifen, -en",Opportunity: To seize an opportunity,Sie sollten diese einmalige Gelegenheit unbedingt ergreifen.,You should definitely seize this unique opportunity.,N
,gemäß,according to,Gemäß der neuen Vorschrift müssen alle Mitarbeiter eine Maske tragen.,"According to the new regulation, all employees must wear a mask.",Prep
die,"Gemeinsamkeit, -en",Commonality,Trotz ihrer Unterschiede haben die beiden viele Gemeinsamkeiten.,"Despite their differences, the two have many things in common.",N
die,"Gemeinschafts- sanitäreinrichtungen, -",Communal sanitary facilities,Auf dem Campingplatz gibt es saubere Gemeinschafts-sanitäreinrichtungen.,The campsite has clean communal sanitary facilities.,N
die,"Genehmigung, -en",Approval,Für den Umbau des Hauses brauchen wir eine behördliche Genehmigung.,We need official permission to renovate the house.,N
,generell,generally,Generell bin ich mit der Arbeit des neuen Kollegen sehr zufrieden.,"Overall, I am very satisfied with the work of the new colleague.",Adj
die,"Genossenschaft, -en",Cooperative,Die Bauern der Region haben sich zu einer Genossenschaft zusammengeschlossen.,The farmers of the region have joined together to form a cooperative.,N
die,"Gepäckabfertigung, -en",Baggage handling,Die Gepäckabfertigung dauerte heute ungewöhnlich lange.,Baggage handling took an unusually long time today.,N
,gerechtfertigt,justified,Seine harte Kritik an dem Projekt war durchaus gerechtfertigt.,His harsh criticism of the project was entirely justified.,Adj
,gereizt,irritated,Nach dem langen Arbeitstag war sie am Abend sehr gereizt.,"After a long day at work, she was very irritable in the evening.",Adj
das,"Gerücht, -e",Rumor,"Es gibt das Gerücht, dass die Firma bald verkauft wird.",There are rumors that the company will soon be sold.,N
die,"Gesamtfläche, -n",Total area,Die Gesamtfläche des neuen Büros beträgt etwa 500 Quadratmeter.,The total area of ​​the new office is approximately 500 square meters.,N
die,"Geschäftsführung, -en",Management,Die Geschäftsführung hat eine neue Strategie für das kommende Jahr beschlossen.,The management has decided on a new strategy for the coming year.,N
die,"Geschäftsidee, -n",Business idea,Er sucht nach Investoren für seine innovative Geschäftsidee.,He is looking for investors for his innovative business idea.,N
das,"Geschäftsjahr, -e",Fiscal year,Im vergangenen Geschäftsjahr haben wir unseren Umsatz deutlich gesteigert.,"In the past fiscal year, we significantly increased our sales.",N
die,"Geschäftsleitung, -en",Management,Die Geschäftsleitung lädt alle Mitarbeiter zur Weihnachtsfeier ein.,Management invites all employees to the Christmas party.,N
die,"Geschäftsverbindung, -en",Business relationship,Wir pflegen gute Geschäftsverbindungen zu Partnern in Asien.,We maintain good business relationships with partners in Asia.,N
die,"Geschäftszeit, -en",Business hours,Außerhalb unserer Geschäftszeiten können Sie uns eine E-Mail schreiben.,"Outside of our business hours, you can send us an email.",N
die,"Geselligkeit, -en",Sociability,Er schätzt die Geselligkeit und verbringt gerne Zeit mit Freunden.,He values ​​social interaction and enjoys spending time with friends.,N
der/die,"Gesetzgeber/in, -/-nen",Legislator,Der Gesetzgeber hat neue Regeln für den Umweltschutz erlassen.,The legislature has enacted new rules for environmental protection.,N
,gesetzlich,statutory,Die gesetzliche Kündigungsfrist beträgt in diesem Fall drei Monate.,The statutory notice period in this case is three months.,Adj
,gesondert,separately,Dieser Punkt wird im Vertrag noch einmal gesondert geregelt.,This point will be regulated separately in the contract.,Adj
der/die,"Gesprächspartner/in, -/-nen",Conversation partner,Mein Gesprächspartner war sehr freundlich und aufmerksam.,My conversation partner was very friendly and attentive.,N
,gestalten,design,Wir wollen unsere Webseite in Zukunft moderner gestalten.,We want to make our website more modern in the future.,V
,gestatten,allow,"Gestatten Sie mir, dass ich mich kurz vorstelle""","May I briefly introduce myself""",V
,gesundheitlich,health-related,Aus gesundheitlichen Gründen muss er leider kürzertreten.,"Unfortunately, he has to slow down due to health reasons.",Adj
die,"Gesundheitsbelastung, -en",Health burden,Lärm am Arbeitsplatz ist eine ernsthafte Gesundheitsbelastung.,Noise in the workplace is a serious health hazard.,N
der,"Gesundheitsschutz, -",Health protection,Der Gesundheitsschutz unserer Mitarbeiter hat höchste Priorität.,The health and safety of our employees is our highest priority.,N
das,"Gesundheitswesen, -",Healthcare,Das deutsche Gesundheitswesen steht vor großen Herausforderungen.,The German healthcare system faces major challenges.,N
,gewähren,grant,Die Bank hat uns einen Kredit für das neue Auto gewährt.,The bank granted us a loan for the new car.,V
,gewährleisten,ensure,"Wir müssen gewährleisten, dass alle Sicherheitsstandards eingehalten werden.",We must ensure that all safety standards are met.,V
die,"Gewährleistung, -en",Warranty,Auf dieses Gerät haben Sie zwei Jahre gesetzliche Gewährleistung.,This device comes with a two-year statutory warranty.,N
die,"Gewährleistungsfrist, -en",Warranty period,Nach Ablauf der Gewährleistungsfrist müssen Reparaturen bezahlt werden.,Repairs must be paid for after the warranty period has expired.,N
das,"Gewerbe, -",Commercial,Er hat ein eigenes Gewerbe als Fotograf angemeldet.,He has registered his own business as a photographer.,N
die,"Gewerkschaft, -en",Union,Die Gewerkschaft fordert mehr Lohn für die Beschäftigten.,The union is demanding higher wages for employees.,N
,gewiss,certainly,"Es besteht ein gewisses Risiko, dass der Plan nicht funktioniert.",There is a certain risk that the plan will not work.,Adj
,gezielt,targeted,Wir müssen unsere Werbung gezielter auf junge Leute ausrichten.,We need to target our advertising more specifically at young people.,Adj
die,"Glasscheibe, -n",Glass pane,"Der Ball ist gegen die Glasscheibe geflogen, aber sie ist nicht kaputt.","The ball hit the glass pane, but it didn't break.",N
,gleichgeschlechtlich,same-sex,Die Ehe für gleichgeschlechtliche Paare wurde in vielen Ländern legalisiert.,Marriage for same-sex couples has been legalized in many countries.,Adj
die,"Gleitzeit, -en",Flextime,Dank der Gleitzeit kann ich morgens flexibel anfangen zu arbeiten.,"Thanks to flexible working hours, I can start work flexibly in the morning.",N
,gliedern,structure,"Sie sollten Ihren Vortrag in eine Einleitung, einen Hauptteil und einen Schluss gliedern.","You should structure your presentation into an introduction, a main part, and a conclusion.",V
die,"Gliederung, -en",Structure,Die Gliederung des Textes ist sehr übersichtlich und logisch.,The structure of the text is very clear and logical.,N
